Equipment_Caps,,,,SG_Material,,,,,,,,,,,,,,
Equipment,Product,Capacity,,Material,Bank (ton/m_),Loose (ton/m_),Swell (Loose/Bank),,,,,,,,,,Operator_Efisiensi,
Kom. PC200 C,Backhoe,1.2,,Magnetite_Iron Ore,5.05,2.9,0.57,,,,,,,,,,Operating Conditions,Job Efficiency
Kom. PC300-7,Backhoe,2.1,,Hematite_Iron Ore,3.5,2,0.57,,,,,,,,,,Good,83%
Kom. PC400 C,Backhoe,2.8,,Gypsum,3.17,1.81,0.57,,,,,,,,,,Average,75%
R9300,Backhoe,17.5,,Basalt,2.95,1.7,0.58,,,,,,,,,,Rather Poor,67%
R9200,Backhoe,14,,Granite,2.8,1.6,0.57,,,,,,,,,,Poor,58%
R9100,Backhoe,8,,Limestone,2.8,1.6,0.57,,,,,,,,,,,
ZX870,Backhoe,5,,Crushed Stone,2.67,1.6,0.6,,,,,,,,,,,
XE2000,Backhoe,14,,Caliche,2.26,1.25,0.55,,,,,,,,,,,
ZX890,Backhoe,5,,Sandstone,2.3,2.1,0.91,,,,,,,,,,,
SDLG80,Backhoe,5,,Carnotite,2.2,1.63,0.74,,,,,,,,,,,
Zaxis 470,Backhoe,3.2,,Uranium Ore,2.2,1.63,0.74,,,,,,,,,,,
XDR800,Backhoe,5,,"Decomposed Rock_25% Rock, 75% Earth",2.2,1.65,0.75,,,,,,,,,,,
PC 2000,Backhoe,14,,Gravel,2.17,1.93,0.89,,,,,,,,,,,
Sany SY 500 H,Backhoe,3.1,,"Decomposed Rock_50% Rock, 50% Earth",2.1,1.75,0.83,,,,,,,,,,,
Volvo EC 480,Backhoe,3.1,,"Clay, Wet",2.08,1.66,0.8,,,,,,,,,,,
Komatsu PC 800,Backhoe,4.4,,"Sand, Wet",2.08,1.84,0.88,,,,,,,,,,,
Doosan DX800,Backhoe,5.58,,"Clay, Natural Bed",2.02,1.66,0.82,,,,,,,,,,,
Volvo EC950,Backhoe,6,,"Earth, Wet Excavated",2.02,1.6,0.79,,,,,,,,,,,
Komatsu PC 1250,Backhoe,6.7,,"Sand & Clay, Loose",2.02,1.6,0.79,,,,,,,,,,,
Doosan S50LCV,Backhoe,3.2,,Clay_Gravel,2,1.45,0.73,,,,,,,,,,,
Kom. PC3000,Backhoe,15,,"Decomposed Rock_75% Rock, 25% Earth",2,1.75,0.88,,,,,,,,,,,
Kom. PC4000,Backhoe,22,,Earth_Wet,2,1.6,0.8,,,,,,,,,,,
Hitachi EX 1200,Backhoe,6.5,,Bauxite,1.9,1.42,0.75,,,,,,,,,,,
Hitachi EX 2500,Backhoe,15,,"Earth, Dry Packed",1.9,1.51,0.79,,,,,,,,,,,
,,,,"Gravel, Dry (1/4 - 2�)",1.9,1.69,0.89,,,,,,,,,,,
,,,,"Sand, Damp",1.9,1.69,0.89,,,,,,,,,,,
,,,,"Clay, Dry",1.84,1.48,0.8,,,,,,,,,,,
,,,,"Clay & Gravel, Wet",1.84,1.54,0.84,,,,,,,,,,,
,,,,Clay,1.8,1.45,0.81,,,,,,,,,,,
,,,,Earth_Dry,1.8,1.4,0.78,,,,,,,,,,,
,,,,"Gravel, Dry",1.69,1.51,0.89,,,,,,,,,,,
,,,,"Clay & Gravel, Dry",1.66,1.42,0.86,,,,,,,,,,,
,,,,"Sand, Dry Loose",1.6,1.42,0.89,,,,,,,,,,,
,,,,Earth_Loam,1.54,1.25,0.81,,,,,,,,,,,
,,,,Top Soil,1.5,1.2,0.8,,,,,,,,,,,
,,,,Coal_Anthracite,1.3,1,0.77,,,,,,,,,,,
,,,,Coal_Bituminous,1.3,1,0.77,,,,,,,,,,,
,,,,Cinders,0.86,0.56,0.65,,,,,,,,,,,
